Sales Person;Country;Product;Date;Boxes Shipped;Amount ($)
Lucas Verma;Canada;Aloe Vera Gel;30.04.2022;358;789713
Ethan Reddy;UK;Aloe Vera Gel;25.01.2022;449;1637688
Ananya Gupta;India;Body Butter Cream;22.08.2022;264;559968
Ananya Gupta;New Zealand;Salicylic Acid Cleanser;26.08.2022;144;296647
Sophia Nair;UK;Body Butter Cream;19.05.2022;484;682868
Ananya Gupta;UK;Lip Balm Pack;27.08.2022;192;255595
Ananya Gupta;New Zealand;Rose Water Toner;29.04.2022;19;83292
Sophia Nair;New Zealand;Tea Tree Moisturizer;15.07.2022;36;99796
Isabella Roy;New Zealand;Lip Balm Pack;4.02.2022;466;775436
Noah Mehta;India;Aloe Vera Gel;16.05.2022;176;550719
Olivia D'Souza;Australia;Body Butter Cream;27.01.2022;87;111966
Sophia Nair;USA;Face Sheet Masks;2.06.2022;384;685359
Ava Sharma;USA;Hair Repair Oil;6.04.2022;254;1214798
Lucas Verma;New Zealand;Aloe Vera Gel;26.07.2022;79;92346
Ava Sharma;Canada;Salicylic Acid Cleanser;10.01.2022;24;44207
Liam Patel;Canada;Aloe Vera Gel;4.01.2022;83;390037
Ava Sharma;New Zealand;Body Butter Cream;2.06.2022;25;80163
Isabella Roy;India;Aloe Vera Gel;3.03.2022;251;1010178
Sophia Nair;Canada;Vitamin C Cream;29.05.2022;417;660015
Lucas Verma;USA;Niacinamide Toner;28.05.2022;258;530298
Noah Mehta;UK;Under Eye Cream;2.08.2022;257;631009
Noah Mehta;Canada;Hydrating Face Serum;17.07.2022;211;236918
Sophia Nair;UK;Aloe Vera Gel;14.05.2022;358;1641897
Olivia D'Souza;New Zealand;Vitamin C Cream;15.01.2022;226;1077483
Sophia Nair;Australia;Niacinamide Toner;13.04.2022;162;595848
Olivia D'Souza;USA;Tea Tree Moisturizer;22.07.2022;74;119496
Isabella Roy;Australia;Charcoal Face Wash;11.04.2022;18;31468
Mason Kapoor;Australia;Anti-Aging Serum;18.06.2022;91;144265
Liam Patel;USA;Under Eye Cream;12.06.2022;78;281034
Mason Kapoor;UK;Under Eye Cream;13.01.2022;57;139462
Liam Patel;Australia;Niacinamide Toner;2.04.2022;213;814360
Mason Kapoor;UK;Body Butter Cream;10.07.2022;340;1288594
Liam Patel;Canada;Lip Balm Pack;3.08.2022;362;1622313
Noah Mehta;UK;Face Sheet Masks;18.03.2022;217;833047
Mason Kapoor;New Zealand;Rose Water Toner;19.06.2022;290;538420
Ava Sharma;India;Hydrating Face Serum;7.03.2022;450;1959427
Ava Sharma;New Zealand;Vitamin C Cream;27.05.2022;266;1221324
Lucas Verma;UK;Hydrating Face Serum;11.05.2022;357;424256
Mason Kapoor;Australia;Face Sheet Masks;20.03.2022;498;1337916
Lucas Verma;Australia;Tea Tree Moisturizer;25.03.2022;246;935399
Ananya Gupta;New Zealand;Vitamin C Cream;26.08.2022;147;503273
Mason Kapoor;UK;Lip Balm Pack;9.01.2022;103;304108
Ananya Gupta;Canada;Hair Repair Oil;25.03.2022;150;325873
Liam Patel;USA;Anti-Aging Serum;17.05.2022;242;1045226
Ethan Reddy;USA;Hydrating Face Serum;29.05.2022;298;864286
Ananya Gupta;India;Rose Water Toner;31.03.2022;102;252386
Ethan Reddy;Canada;Charcoal Face Wash;7.05.2022;324;1159990
Liam Patel;New Zealand;SPF 50 Sunscreen;27.05.2022;331;1560661
Mason Kapoor;New Zealand;Lip Balm Pack;13.07.2022;312;958351
Noah Mehta;New Zealand;Tea Tree Moisturizer;13.08.2022;373;1019285
Olivia D'Souza;USA;Hydrating Face Serum;2.05.2022;483;2170144
Sophia Nair;India;Hair Repair Oil;28.08.2022;366;649658
Ananya Gupta;New Zealand;Body Butter Cream;2.02.2022;438;1638331
Mason Kapoor;New Zealand;Body Butter Cream;3.06.2022;361;1583445
Noah Mehta;UK;Lip Balm Pack;17.05.2022;489;750102
Noah Mehta;UK;Hydrating Face Serum;24.06.2022;29;92243
Ananya Gupta;India;Salicylic Acid Cleanser;28.04.2022;213;614145
Noah Mehta;New Zealand;Rose Water Toner;23.03.2022;156;174579
Liam Patel;New Zealand;Charcoal Face Wash;25.03.2022;198;726820
Sophia Nair;UK;SPF 50 Sunscreen;25.04.2022;30;42438
Noah Mehta;New Zealand;Body Butter Cream;8.04.2022;331;1071179
Noah Mehta;USA;Vitamin C Cream;23.03.2022;248;815490
Ava Sharma;New Zealand;Tea Tree Moisturizer;25.07.2022;454;513241
Isabella Roy;India;Vitamin C Cream;21.03.2022;264;653820
Ethan Reddy;USA;Rose Water Toner;11.07.2022;406;1362575
Isabella Roy;Australia;SPF 50 Sunscreen;18.06.2022;244;334435
Sophia Nair;India;Aloe Vera Gel;2.03.2022;325;1145629
Ava Sharma;India;Hair Repair Oil;19.04.2022;434;894601
Ananya Gupta;Australia;Hair Repair Oil;16.01.2022;360;1512074
Ethan Reddy;Canada;Under Eye Cream;1.04.2022;274;937251
Ananya Gupta;UK;Hydrating Face Serum;22.05.2022;107;453142
Noah Mehta;USA;Aloe Vera Gel;13.01.2022;456;1628350
Ava Sharma;Canada;Tea Tree Moisturizer;24.01.2022;402;1010884
Noah Mehta;UK;Body Butter Cream;12.08.2022;202;380103
Liam Patel;USA;Anti-Aging Serum;8.07.2022;51;130808
Noah Mehta;Canada;Face Sheet Masks;9.07.2022;285;1319500
Isabella Roy;Australia;Niacinamide Toner;25.04.2022;152;522333
Olivia D'Souza;Canada;Salicylic Acid Cleanser;30.08.2022;146;610247
Noah Mehta;Australia;Hydrating Face Serum;29.06.2022;237;841643
Isabella Roy;Canada;Under Eye Cream;22.05.2022;334;821587
Sophia Nair;Canada;SPF 50 Sunscreen;29.03.2022;322;693638
Olivia D'Souza;New Zealand;Under Eye Cream;4.03.2022;180;242262
Lucas Verma;USA;Anti-Aging Serum;13.01.2022;366;1709034
Ava Sharma;Canada;Hydrating Face Serum;23.02.2022;324;1049739
Sophia Nair;UK;Under Eye Cream;29.08.2022;14;56978
Olivia D'Souza;UK;Hydrating Face Serum;15.03.2022;124;410317
Isabella Roy;Australia;SPF 50 Sunscreen;26.08.2022;73;89111
Isabella Roy;UK;Hydrating Face Serum;18.01.2022;465;1412727
Olivia D'Souza;USA;Aloe Vera Gel;25.03.2022;218;515027
Noah Mehta;USA;Face Sheet Masks;8.03.2022;13;14670
Sophia Nair;New Zealand;Hair Repair Oil;17.02.2022;118;381292
Mason Kapoor;USA;Niacinamide Toner;23.07.2022;218;945004
Noah Mehta;UK;Face Sheet Masks;14.02.2022;293;645754
Olivia D'Souza;UK;Under Eye Cream;19.02.2022;309;792554
Lucas Verma;USA;Tea Tree Moisturizer;13.04.2022;385;1686145
Lucas Verma;New Zealand;Salicylic Acid Cleanser;17.08.2022;72;165087
Ananya Gupta;Australia;Hair Repair Oil;15.07.2022;424;1986182
Isabella Roy;Canada;Body Butter Cream;8.06.2022;234;1064712
Olivia D'Souza;Australia;SPF 50 Sunscreen;3.06.2022;49;156491
Liam Patel;India;Tea Tree Moisturizer;10.01.2022;89;212630
Liam Patel;India;Niacinamide Toner;9.04.2022;204;289374
Isabella Roy;Australia;Tea Tree Moisturizer;17.04.2022;283;1343496
Ethan Reddy;India;Lip Balm Pack;5.07.2022;169;827351
Noah Mehta;UK;Charcoal Face Wash;7.04.2022;149;406364
Olivia D'Souza;UK;Aloe Vera Gel;6.08.2022;471;665047
Liam Patel;USA;Hydrating Face Serum;8.02.2022;295;446332
Ava Sharma;USA;SPF 50 Sunscreen;10.03.2022;471;1699607
Olivia D'Souza;UK;Tea Tree Moisturizer;30.08.2022;183;476841
Isabella Roy;Australia;Face Sheet Masks;30.03.2022;401;1804613
Mason Kapoor;USA;Aloe Vera Gel;18.05.2022;46;86892
Liam Patel;Australia;Charcoal Face Wash;26.01.2022;96;475975
Isabella Roy;USA;Rose Water Toner;22.03.2022;402;1957641
Sophia Nair;USA;Lip Balm Pack;20.06.2022;235;482494
Isabella Roy;Canada;Hair Repair Oil;19.05.2022;150;555552
Lucas Verma;USA;Aloe Vera Gel;28.01.2022;126;600420
Sophia Nair;USA;SPF 50 Sunscreen;6.04.2022;456;1236981
Noah Mehta;UK;Lip Balm Pack;23.05.2022;29;86189
Ava Sharma;Australia;Vitamin C Cream;11.03.2022;360;604832
Sophia Nair;India;Body Butter Cream;2.06.2022;418;1505150
Mason Kapoor;UK;Under Eye Cream;18.05.2022;24;75672
Isabella Roy;Canada;Salicylic Acid Cleanser;22.06.2022;22;53464
Ava Sharma;Canada;Aloe Vera Gel;11.04.2022;360;1242463
Liam Patel;India;Face Sheet Masks;18.05.2022;354;1513625
Liam Patel;UK;Face Sheet Masks;28.03.2022;31;58035
Ananya Gupta;India;Charcoal Face Wash;30.08.2022;119;580487
Noah Mehta;New Zealand;Face Sheet Masks;30.01.2022;487;2315204
Mason Kapoor;Canada;SPF 50 Sunscreen;19.08.2022;232;617438
Lucas Verma;India;Tea Tree Moisturizer;7.07.2022;425;1661954
Lucas Verma;New Zealand;Face Sheet Masks;10.06.2022;161;321437
Mason Kapoor;Australia;Vitamin C Cream;13.08.2022;475;1603703
Lucas Verma;USA;Charcoal Face Wash;30.03.2022;299;645588
Isabella Roy;New Zealand;SPF 50 Sunscreen;15.03.2022;478;2065954
Olivia D'Souza;Canada;Under Eye Cream;19.04.2022;434;1903011
Noah Mehta;India;Hair Repair Oil;7.05.2022;140;504261
Sophia Nair;UK;SPF 50 Sunscreen;11.02.2022;350;1527446
Mason Kapoor;USA;Charcoal Face Wash;16.03.2022;498;1393458
Lucas Verma;Australia;SPF 50 Sunscreen;13.08.2022;73;85868
Ananya Gupta;India;Hair Repair Oil;1.05.2022;390;1038230
Olivia D'Souza;USA;Hair Repair Oil;27.01.2022;499;782506
Mason Kapoor;Canada;Anti-Aging Serum;19.05.2022;16;32900
Isabella Roy;Australia;Rose Water Toner;4.07.2022;191;701404
Olivia D'Souza;India;Anti-Aging Serum;2.01.2022;433;939028
Noah Mehta;New Zealand;SPF 50 Sunscreen;26.08.2022;279;336814
